ID	BEDS	BATHS	SQFT	YEAR	LAST_SALE_PRICE	URL	LATITUDE	LONGITUDE	ELEMENTARY	MIDDLE	HIGH	HOME_TYPE	REMODELED	IRATING	ERATING	ADDRESS	CITY	STATE	ZIP_CODE	LOT_SIZE	LAST_SALE_DATE	IMAGE_URL
2	2	1	1190	73	1200000	http://www.redfin.com/CA/San-Mateo/266-W-40th-Ave-94403/home/1752305	37.528515	-122.299805	9	8	5	1	0	3	4	266 W 40th Ave	San Mateo	CA	94403		7/25/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
3	4	2	1830	76	1176000	http://www.redfin.com/CA/San-Mateo/437-27th-Ave-94403/home/1079576	37.53867	-122.312019	9	8	8	1	0	2.5	2.5	437 27TH Ave	San Mateo	CA	94403	7000	9/3/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
4	3	1	1190	61	1075000	http://www.redfin.com/CA/San-Mateo/4301-Alameda-De-Las-Pulgas-94403/home/759241	37.524136	-122.30217	9	8	5	1	0	3	4	4301 Alameda De Las Pulgas	San Mateo	CA	94403		7/25/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
7	3	1	2010	107	825000	http://www.redfin.com/CA/San-Mateo/311-N-Claremont-St-94401/home/2058880	37.57304	-122.328812	9	8	8	1	0	2.5	2.5	311 N Claremont St	San Mateo	CA	94401		8/20/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
8	4	3	2589	74	1354000	http://www.redfin.com/CA/San-Mateo/119-Burbank-Ave-94403/home/2058994	37.529552	-122.29454	9	8	8	1	0	4	3.5	119 BURBANK Ave	San Mateo	CA	94403	5225	8/20/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
9	4	2.5	2580	43	1580000	http://www.redfin.com/CA/San-Mateo/1647-Overland-Dr-94403/home/750341	37.527435	-122.328812	9	8	8	1	1	5	4.5	1647 OVERLAND Dr	San Mateo	CA	94403	8362	7/30/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
10	2	1	820	64	710000	http://www.redfin.com/CA/San-Mateo/1025-Norton-St-94401/home/1322029	37.565552	-122.306549	9	8	8	1	1	3.5	3.5	1025 NORTON St	San Mateo	CA	94401	5550	9/2/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
11	3	2	1400	59	1130000	http://www.redfin.com/CA/San-Mateo/647-Vanessa-Dr-94402/home/1716172	37.557613	-122.306366	9	8	8	1	1	5	4	647 VANESSA Dr	San Mateo	CA	94402	5005	9/19/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
13	1	1	692	40	435000	http://www.redfin.com/CA/San-Mateo/1919-Alameda-De-Las-Pulgas-94403/unit-108/home/2058387	37.54665	-122.320091	9	8	8	2	0	3.5	3.5	1919 ALAMEDA DE LAS PULGAS unit 108	San Mateo	CA	94403	131328	9/9/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
14	4	2.5	2360	42	1930000	http://www.redfin.com/CA/San-Mateo/9-Parrott-Ct-94402/home/2008852	37.523712	-122.335449	9	8	8	1	1	4	4	9 PARROTT Ct	San Mateo	CA	94402	19000	8/12/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
15	7	5	5360	108	4350000	http://www.redfin.com/CA/San-Mateo/224-Warren-Rd-94402/home/695249	37.570305	-122.346436	9	8	8	1	0	4	4.5	224 WARREN Rd	San Mateo	CA	94402	21344	9/20/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
17	3	1	1310	63	739000	http://www.redfin.com/CA/San-Mateo/500-N-Idaho-St-94401/home/2049335	37.579826	-122.325478	9	8	5	1	0	3	3	500 N IDAHO St	San Mateo	CA	94401	5565	8/18/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
18	3	2	1292	40	618000	http://www.redfin.com/CA/San-Mateo/2001-Alameda-De-Las-Pulgas-94403/unit-182/home/1252654	37.54665	-122.320091	9	8	8	2	0	3.5	3	2001 ALAMEDA DE LAS PULGAS unit 182	San Mateo	CA	94403	60687	9/11/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
