SALE TYPE	HOME TYPE	ADDRESS	CITY	STATE	ZIP	LIST PRICE	BEDS	BATHS	LOCATION	SQFT	LOT SIZE	YEAR BUILT	PARKING SPOTS	PARKING TYPE	DAYS ON MARKET	STATUS	NEXT OPEN HOUSE DATE	NEXT OPEN HOUSE START TIME	NEXT OPEN HOUSE END TIME	RECENT REDUCTION DATE	ORIGINAL LIST PRICE	LAST SALE DATE	LAST SALE PRICE	URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING)	SOURCE	LISTING ID	ORIGINAL SOURCE	FAVORITE	INTERESTED	LATITUDE	LONGITUDE	IS SHORT SALE
Past Sale	Condo/Coop	211 S FREMONT St #412	San Mateo	CA	94401	264700	2	1	GATEWAY	919	106122	1989	1	Garage		Sold					264700	10/15/14	264700	http://www.redfin.com/CA/San-Mateo/211-S-Fremont-St-94401/unit-412/home/1986018	MLSListings Inc. (MLSLI)	81437290	Today Sothebys International Realty	N	Y	37.569206	-122.318405	FALSE
Past Sale	Single Family Residential	910 ROSEWOOD Dr	San Mateo	CA	94401	1300000	3	2	Glazenwood	1731	7260	1936				Sold					1300000	10/7/14	1400000	http://www.redfin.com/CA/San-Mateo/910-Rosewood-Dr-94401/home/714246	MLSListings Inc. (MLSLI)	81435014	KW Peninsula Estates	N	Y	37.56086	-122.318413	FALSE
Past Sale	Single Family Residential	1409 Beacon Ave	San Mateo	CA	94401	598888	2	1	San Mateo	820	5000	1950	1			Sold					598888	10/2/14	570000	http://www.redfin.com/CA/San-Mateo/1409-Beacon-Ave-94401/home/1358502	San Francisco Association of Realtors (SFARMLS)	423315		N	Y	37.571667	-122.311752	FALSE
Past Sale	Condo/Coop	1785 Vista Del Sol	San Mateo	CA	94404	665000	2	2	San Mateo	1070		1984	2			Sold					665000	9/29/14	690000	http://www.redfin.com/CA/San-Mateo/1785-Vista-Del-Sol-94404/unit-8/home/978839/sfarmls-424573	San Francisco Association of Realtors (SFARMLS)	424573	"Britton & Company, W.J."	N	Y	37.554832	-122.283455	FALSE
Past Sale	Single Family Residential	1835 CHURCH Ave	San Mateo	CA	94401	799000	3	2	Shore View Tract	1080	5202	1955	1	Garage		Sold					799000	9/27/14	805000	http://www.redfin.com/CA/San-Mateo/1835-Church-Ave-94401/home/1024499	MLSListings Inc. (MLSLI)	81431583	Achievers Realty Group	N	Y	37.564991	-122.298241	FALSE
Past Sale	Single Family Residential	843 GRENADA Ln	Foster City	CA	94404	1448888	3	2	Foster City	1810	6572	1978	1	Garage		Sold					1448888	10/1/14	1475888	http://www.redfin.com/CA/Foster-City/843-Grenada-Ln-94404/home/1743753	MLSListings Inc. (MLSLI)	81432547	Better Homes and Gardens Real Estate J.F. Finnegan	N	Y	37.546692	-122.260696	FALSE
Past Sale	Single Family Residential	1741 CELESTE Dr	San Mateo	CA	94402	838000	3	2	19th Ave Park	1400	4998	1956	1	Garage		Sold					838000	9/30/14	955000	http://www.redfin.com/CA/San-Mateo/1741-Celeste-Dr-94402/home/723463	MLSListings Inc. (MLSLI)	81434391	Today Sothebys International Realty	N	Y	37.555874	-122.303833	FALSE
Past Sale	Townhouse	118 HARBOR SEAL Ct	San Mateo	CA	94404	775000	2	2.5	Harbortown	1555	109700	1979	1	Garage		Sold					775000	6/8/14	797000	http://www.redfin.com/CA/San-Mateo/118-Harbor-Seal-Ct-94404/unit-21-2-5/home/1969359	MLSListings Inc. (MLSLI)	81420274	Alain Pinel Realtors	N	Y	37.556931	-122.289413	FALSE
Past Sale	Single Family Residential	648 CONNIE Ave	San Mateo	CA	94402	725000	4	2	San Mateo	1560	5300	1955				Sold					725000	6/7/14	850001	http://www.redfin.com/CA/San-Mateo/648-Connie-Ave-94402/home/1903209	MLSListings Inc. (MLSLI)	81418980	Coldwell Banker	N	Y	37.555103	-122.304626	FALSE
Past Sale	Single Family Residential	1254 OAK St	San Mateo	CA	94402	1178000	2	2	San Mateo	1050	5000	1927	1	Garage		Sold					1178000	6/8/14	1301000	http://www.redfin.com/CA/San-Mateo/1254-Oak-St-94402/home/1035025	MLSListings Inc. (MLSLI)	81419977	Coldwell Banker	N	Y	37.551865	-122.321274	FALSE
Past Sale	Single Family Residential	1623 Dix St	San Mateo	CA	94401		3	2	94401	1040		1954										6/6/14	750000	http://www.redfin.com/CA/San-Mateo/1623-Dix-St-94401/home/1800878				N	Y	37.56234	-122.300911	
Past Sale	Condo/Coop	1177 Shoreline Dr Unit 19-3-11	San Mateo	CA	94404		2	2	94404	1165		1979										6/6/14	725000	http://www.redfin.com/CA/San-Mateo/1177-Shoreline-Dr-94404/unit-19-3-11/home/1906441				N	Y	37.556931	-122.289413	
Past Sale	Condo/Coop	1951 Ofarrell St Apt 104	San Mateo	CA	94403		2	2	94403	1120		1997										6/6/14	650000	http://www.redfin.com/CA/San-Mateo/1951-Ofarrell-St-94403/unit-104/home/1310107				N	Y	37.547832	-122.314056	
Past Sale	Townhouse	1117 Polynesia Dr	Foster City	CA	94404		2	1.5	94404	980		1971										6/6/14	690000	http://www.redfin.com/CA/Foster-City/1117-Polynesia-Dr-94404/home/926961				N	Y	37.560085	-122.262413	
Past Sale	Single Family Residential	11 Oak Valley Rd	San Mateo	CA	94402		3	3	94402	1860		1957										6/6/14	1622500	http://www.redfin.com/CA/San-Mateo/11-Oak-Valley-Rd-94402/home/1314141				N	Y	37.548542	-122.3396	
