HITID	URL	image1	address	LISTING_ID	Worker	Answer	Date
3M0556243SKALDFB6VHC7WED0WNNFK	http://www.movoto.com/sunnyvale-ca/549-rockport-dr-sunnyvale-ca-94087-100_81412248/	http://100.mlsimages.movoto.com/048/81412248_0.jpg	549 Rockport Dr	sunnyvale	A3MCS8WQWZ34RN	3 Star - Avg.	Thu Nov 13 22:38:01 UTC 2014
3ODOP6T3ASK4YBTT0VN9O4EO0BN24K	http://www.movoto.com/sunnyvale-ca/1355-torrance-ave-sunnyvale-ca-94089-100_81412755/	http://100.mlsimages.movoto.com/055/81412755_0.jpg	1355 Torrance Ave	sunnyvale	A9JHTV37LSE5F	3 Star - Avg.	Thu Nov 13 22:39:05 UTC 2014
3HFWPF5AK9JCLERNUWXW5HZMK5QS3S	http://www.movoto.com/sunnyvale-ca/846-tamarack-ln-sunnyvale-ca-94086-100_81415367/	http://100.mlsimages.movoto.com/067/81415367_0.jpg	846 Tamarack Ln	sunnyvale	A2WNW8A4MOR7T7	3 Star - Avg.	Thu Nov 13 22:39:51 UTC 2014
3NOEP8XAU42ROKI9M40QHSJF4GKXPH	http://www.movoto.com/sunnyvale-ca/751-lakebird-dr-sunnyvale-ca-94089-100_81407502/	http://100.mlsimages.movoto.com/002/81407502_0.jpg	751 Lakebird Dr	sunnyvale	A2XFGTPDO4KQ2B	3 Star - Avg.	Thu Nov 13 22:38:22 UTC 2014
36KM3FWE3RCULO8YN6H28S5JUFU07J	http://www.movoto.com/sunnyvale-ca/551-grand-fir-ave-1-sunnyvale-ca-94086-100_81406749/	http://100.mlsimages.movoto.com/049/81406749_0.jpg	551 Grand Fir Ave #1	sunnyvale	A1KGCOR8OXYR72	3 Star - Avg.	Thu Nov 13 22:42:19 UTC 2014
3EAWOID6MTXWWE9U54KIE6LMGX0V05	http://www.movoto.com/cupertino-ca/7929-festival-ct-cupertino-ca-95014-100_81417649/	http://100.mlsimages.movoto.com/049/81417649_0.jpg	7929 Festival Ct	cupertino	A2WNW8A4MOR7T7	2 Star	Thu Nov 13 22:46:37 UTC 2014
3KA7IJSNW65KBHF8H888SVSNLDXBPN	http://www.movoto.com/cupertino-ca/22117-wallace-dr-cupertino-ca-95014-100_81416274/	http://100.mlsimages.movoto.com/074/81416274_0.jpg	22117 Wallace Dr	cupertino	A1QSV6T2K6P8NU	3 Star - Avg.	Thu Nov 13 23:24:23 UTC 2014
3IYI9285WS07ZB4G0VZJ6JCTUZQCJU	http://www.movoto.com/sunnyvale-ca/206-peppermint-tree-ter-5-sunnyvale-ca-94086-100_81404602/	http://100.mlsimages.movoto.com/002/81404602_0.jpg	206 Peppermint Tree TER #5	sunnyvale	A2ET15FVBLRUIV	3 Star - Avg.	Thu Nov 13 23:44:00 UTC 2014
37ZQELHEQ0YGRN7SSILP2MYMXXZMNQ	http://www.movoto.com/sunnyvale-ca/294-w-duane-ave-sunnyvale-ca-94085-100_81413449/	http://100.mlsimages.movoto.com/049/81413449_0.jpg	294 W Duane Ave	sunnyvale	A1GKEEI844CEKI	3 Star - Avg.	Fri Nov 14 00:07:49 UTC 2014
3MA5N0ATTCBBOTG3Z7ZWJSJ9148KWA	http://www.movoto.com/sunnyvale-ca/1125-robin-way-sunnyvale-ca-94087-100_81421254/	http://100.mlsimages.movoto.com/054/81421254_0.jpg	1125 Robin Way	sunnyvale	A1GKEEI844CEKI	2 Star	Fri Nov 14 00:08:09 UTC 2014
