SALE TYPE	HOME TYPE	ADDRESS	CITY	STATE	ZIP	BEDS
Past Sale	Condo/Coop	211 S FREMONT St #412	San Mateo	CA	94401	2
Past Sale	Single Family Residential	910 ROSEWOOD Dr	San Mateo	CA	94401	3
Past Sale	Single Family Residential	1409 Beacon Ave	San Mateo	CA	94401	2
Past Sale	Condo/Coop	1785 Vista Del Sol	San Mateo	CA	94404	2
Past Sale	Single Family Residential	1835 CHURCH Ave	San Mateo	CA	94401	3
Past Sale	Single Family Residential	843 GRENADA Ln	Foster City	CA	94404	3
Past Sale	Single Family Residential	1741 CELESTE Dr	San Mateo	CA	94402	3
Past Sale	Townhouse	118 HARBOR SEAL Ct	San Mateo	CA	94404	2
Past Sale	Single Family Residential	648 CONNIE Ave	San Mateo	CA	94402	4
Past Sale	Single Family Residential	1254 OAK St	San Mateo	CA	94402	2
Past Sale	Single Family Residential	1623 Dix St	San Mateo	CA	94401	3
Past Sale	Condo/Coop	1177 Shoreline Dr Unit 19-3-11	San Mateo	CA	94404	2
Past Sale	Condo/Coop	1951 Ofarrell St Apt 104	San Mateo	CA	94403	2
Past Sale	Townhouse	1117 Polynesia Dr	Foster City	CA	94404	2
Past Sale	Single Family Residential	11 Oak Valley Rd	San Mateo	CA	94402	3
Past Sale	Single Family Residential	1747 Cottage Grove Ave	San Mateo	CA	94401	2
Past Sale	Single Family Residential	506 Seville Way	San Mateo	CA	94402	4
Past Sale	Townhouse	606 PAVO Ln	Foster City	CA	94404	3
Past Sale	Condo/Coop	211 S FREMONT St #305	San Mateo	CA	94401	1
Past Sale	Single Family Residential	1683 ELEANOR Dr	San Mateo	CA	94402	3
Past Sale	Condo/Coop	425 N EL CAMINO REAL #208	San Mateo	CA	94401	2
Past Sale	Condo/Coop	555 LAUREL Ave #407	San Mateo	CA	94401	2
Past Sale	Single Family Residential	647 VANESSA Dr	San Mateo	CA	94402	3
Past Sale	Single Family Residential	903 E 16TH Ave	San Mateo	CA	94402	3
Past Sale	Single Family Residential	602 BRIDGEPORT Ln	Foster City	CA	94404	3
Past Sale	Condo/Coop	222 8TH Ave #200	San Mateo	CA	94401	2
Past Sale	Condo/Coop	636 PORTOFINO Ln	Foster City	CA	94404	2
Past Sale	Single Family Residential	1020 FIESTA Dr	San Mateo	CA	94403	3
Past Sale	Single Family Residential	381 Beach Park Blvd	Foster City	CA	94404	4
Past Sale	Single Family Residential	407 NEVADA Ave	San Mateo	CA	94402	4
Past Sale	Condo/Coop	800 SEA SPRAY Ln #114	Foster City	CA	94404	1
Past Sale	Single Family Residential	40 VERBALEE Ln	Hillsborough	CA	94010	12
